"External ID";"name";"Asset Code";"type";"is_cip";"Journal";"Asset Account";"Depreciation Entries: Asset Account";"Depreciation Entries: Expense Account";"method_time";"method_number";"method_period";"method";"prorata";"open_asset";"first_day_of_month";"method_end"
asset_improvement_building_-_budget;Improvement Building - Budget;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110114";number;240;1;linear;true;false;true;
asset_improvement_building_-_tax;Improvement Building - Tax;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110115";number;240;1;linear;true;false;true;
asset_improvement_building_-_marketing_ho;Improvement Building - Marketing HO;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110116";number;240;1;linear;true;false;true;
asset_improvement_building_-_corpcom_&_customer_relation;Improvement Building - Corpcom & Customer Relation;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110117";number;240;1;linear;true;false;true;
asset_improvement_building_-_mpd;Improvement Building - MPD;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110118";number;240;1;linear;true;false;true;
asset_improvement_building_-_ga_ho;Improvement Building - GA HO;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110119";number;240;1;linear;true;false;true;
asset_improvement_building_-_secretary;Improvement Building - Secretary;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110120";number;240;1;linear;true;false;true;
asset_construction_in_progress_building_and_improvement_-_accounting;Construction in Progress Building and Improvement - Accounting;AssetCode|B;fixed;true;Journal Depreciation;"146101";"151102";"60110105";number;0;1;linear;true;false;true;
asset_leasehold_improvement_-_penjualan_service;Leasehold Improvement - Penjualan Service;AssetCode|B;fixed;false;Journal Depreciation;"148101";"151103";"60110403";number;60;1;linear;true;false;true;
asset_leasehold_improvement_-_administrasi_service;Leasehold Improvement - Administrasi Service;AssetCode|B;fixed;false;Journal Depreciation;"148101";"151103";"60110404";number;60;1;linear;true;false;true;
asset_building_-_administrasi_unit;Building - Administrasi Unit;AssetCode|B;fixed;false;Journal Depreciation;"142101";"151101";"60110102";number;240;1;linear;true;false;true;
asset_building_-_administrasi_service;Building - Administrasi Service;AssetCode|B;fixed;false;Journal Depreciation;"142101";"151101";"60110103";number;240;1;linear;true;false;true;
asset_prepaid_rent_-_related_parties_-__penjualan_unit;Prepaid Rent - Related Parties -  Penjualan Unit;AssetCode|PR;prepaid;false;Journal Depreciation;"115202";"115202";"60050201";number;36;1;linear;true;true;true;
asset_prepaid_rent_-_related_parties_-__administrasi_unit;Prepaid Rent - Related Parties -  Administrasi Unit;AssetCode|PR;prepaid;false;Journal Depreciation;"115202";"115202";"60050202";number;36;1;linear;true;true;true;
asset_prepaid_rent_-_related_parties_-__penjualan_service;Prepaid Rent - Related Parties -  Penjualan Service;AssetCode|PR;prepaid;false;Journal Depreciation;"115202";"115202";"60050203";number;36;1;linear;true;true;true;
